#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) log(j_min) log of the minimum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(8) log(j_max) log of the maximum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(9) Dir
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	log(j_min)	log(j_max)	Dir
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -1.25 -0.833333333333 97.262674463
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -0.833333333333 -0.416666666667 95.2502509892
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -0.416666666667 0.0 93.1998738522
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 0.0 0.416666666667 91.4144808237
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 0.416666666667 0.833333333333 90.040604452
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -2.5 -2.08333333333 97.1023057152
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -2.08333333333 -1.66666666667 109.269472005
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -1.66666666667 -1.25 90.2492573384
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -1.25 -0.833333333333 93.2960604862
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -0.833333333333 -0.416666666667 91.6615112752
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -0.416666666667 0.0 88.7450117132
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 0.0 0.416666666667 87.114686166
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 0.416666666667 0.833333333333 76.9323325982
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -2.5 -2.08333333333 86.8916093675
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -2.08333333333 -1.66666666667 106.679496973
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -1.66666666667 -1.25 87.4945293572
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -1.25 -0.833333333333 90.7792608964
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -0.833333333333 -0.416666666667 88.0620790255
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -0.416666666667 0.0 85.4323169333
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 0.0 0.416666666667 82.7412016601
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 0.416666666667 0.833333333333 123.46874893
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -2.5 -2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -2.08333333333 -1.66666666667 75.5093059611
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -1.66666666667 -1.25 91.9156367299
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -1.25 -0.833333333333 85.7865074282
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -0.833333333333 -0.416666666667 85.0341241123
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -0.416666666667 0.0 83.0810756344
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 0.0 0.416666666667 84.5532253008
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 0.416666666667 0.833333333333 109.57610678
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -2.5 -2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -2.08333333333 -1.66666666667 84.2715659105
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -1.66666666667 -1.25 104.074189045
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -1.25 -0.833333333333 89.4112217341
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -0.833333333333 -0.416666666667 84.8185241104
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -0.416666666667 0.0 83.2508103264
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 0.0 0.416666666667 85.7534408697
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 0.416666666667 0.833333333333 113.088327696
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -2.5 -2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -2.08333333333 -1.66666666667 94.0821219775
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -1.66666666667 -1.25 82.4479226171
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -1.25 -0.833333333333 92.8309078908
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -0.833333333333 -0.416666666667 85.9829611398
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -0.416666666667 0.0 86.8213437506
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 0.0 0.416666666667 93.9814306911
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 0.416666666667 0.833333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 -2.5 -2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 -2.08333333333 -1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 -1.66666666667 -1.25 82.3902711872
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 -1.25 -0.833333333333 99.4590873032
