#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) log(j_min) log of the minimum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(8) log(j_max) log of the maximum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(9) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	log(j_min)	log(j_max)	Angle
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -1.25 -0.833333333333 12.1147151269
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -0.833333333333 -0.416666666667 5.4804029177
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -0.416666666667 0.0 3.07841143559
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 0.0 0.416666666667 2.47590661289
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 0.416666666667 0.833333333333 1.94818822468
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -2.5 -2.08333333333 77.4095407362
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -2.08333333333 -1.66666666667 59.7110234401
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -1.66666666667 -1.25 32.9253651882
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -1.25 -0.833333333333 13.9736502073
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -0.833333333333 -0.416666666667 6.45915304465
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 -0.416666666667 0.0 3.68468564266
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 0.0 0.416666666667 2.89024706292
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 0.416666666667 0.833333333333 2.67016076892
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.66666666667 -1.5 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -2.5 -2.08333333333 12.4225674235
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -2.08333333333 -1.66666666667 84.3892715349
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -1.66666666667 -1.25 40.1734560814
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -1.25 -0.833333333333 17.0600558307
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -0.833333333333 -0.416666666667 7.74612875339
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 -0.416666666667 0.0 4.41553051881
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 0.0 0.416666666667 3.44864486506
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 0.416666666667 0.833333333333 3.18751631432
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.5 -1.33333333333 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -2.5 -2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -2.08333333333 -1.66666666667 79.1920094023
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -1.66666666667 -1.25 45.0161631129
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -1.25 -0.833333333333 20.3894675039
