#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Angle
11.0 11.175 -2.4 -2.25 -2.3 -2.2 2.93903365143
11.0 11.175 -2.4 -2.25 -2.2 -2.1 2.99717347533
11.0 11.175 -2.4 -2.25 -2.1 -2.0 3.32665923562
11.0 11.175 -2.4 -2.25 -2.0 -1.9 3.70013131658
11.0 11.175 -2.4 -2.25 -1.9 -1.8 4.05231149995
11.0 11.175 -2.4 -2.25 -1.8 -1.7 4.45020868295
11.0 11.175 -2.4 -2.25 -1.7 -1.6 4.95776135812
11.0 11.175 -2.4 -2.25 -1.6 -1.5 5.45002140527
11.0 11.175 -2.4 -2.25 -1.5 -1.4 6.09529042927
11.0 11.175 -2.4 -2.25 -1.4 -1.3 6.94283865427
11.0 11.175 -2.4 -2.25 -1.3 -1.2 8.0481612294
11.0 11.175 -2.4 -2.25 -1.2 -1.1 9.2184748322
11.0 11.175 -2.4 -2.25 -1.1 -1.0 10.3331579066
11.0 11.175 -2.4 -2.25 -1.0 -0.9 11.8335493716
11.0 11.175 -2.4 -2.25 -0.9 -0.8 13.7355106549
11.0 11.175 -2.4 -2.25 -0.8 -0.7 13.7883046744
11.0 11.175 -2.4 -2.25 -0.7 -0.6 15.4266234784
11.0 11.175 -2.4 -2.25 -0.6 -0.5 22.0194046327
11.0 11.175 -2.25 -2.1 -2.5 -2.4 2.57936813573
11.0 11.175 -2.25 -2.1 -2.4 -2.3 2.69782469792
11.0 11.175 -2.25 -2.1 -2.3 -2.2 3.05694120663
11.0 11.175 -2.25 -2.1 -2.2 -2.1 3.13249175422
11.0 11.175 -2.25 -2.1 -2.1 -2.0 3.44325840951
11.0 11.175 -2.25 -2.1 -2.0 -1.9 3.76038176873
11.0 11.175 -2.25 -2.1 -1.9 -1.8 4.13186264163
11.0 11.175 -2.25 -2.1 -1.8 -1.7 4.53262181003
11.0 11.175 -2.25 -2.1 -1.7 -1.6 4.94860175986
11.0 11.175 -2.25 -2.1 -1.6 -1.5 5.43224141029
11.0 11.175 -2.25 -2.1 -1.5 -1.4 6.11423499225
11.0 11.175 -2.25 -2.1 -1.4 -1.3 6.89625836089
11.0 11.175 -2.25 -2.1 -1.3 -1.2 8.09667103955
11.0 11.175 -2.25 -2.1 -1.2 -1.1 8.90249168084
11.0 11.175 -2.25 -2.1 -1.1 -1.0 10.456188028
11.0 11.175 -2.25 -2.1 -1.0 -0.9 11.528110688
11.0 11.175 -2.25 -2.1 -0.9 -0.8 13.4041182697
11.0 11.175 -2.25 -2.1 -0.8 -0.7 15.4583898201
11.0 11.175 -2.25 -2.1 -0.7 -0.6 18.2618105983
11.0 11.175 -2.25 -2.1 -0.6 -0.5 26.6962861465
11.0 11.175 -2.1 -1.95 -2.5 -2.4 2.94954173974
