#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Angle
11.525 11.7 -0.6 -0.45 -2.5 -2.4 17.0064572692
11.525 11.7 -0.6 -0.45 -2.4 -2.3 29.6930189322
11.525 11.7 -0.6 -0.45 -2.3 -2.2 20.9822983507
11.525 11.7 -0.6 -0.45 -2.2 -2.1 20.6418803859
11.525 11.7 -0.6 -0.45 -2.1 -2.0 26.1565510556
11.525 11.7 -0.6 -0.45 -2.0 -1.9 18.9135979294
11.525 11.7 -0.6 -0.45 -1.9 -1.8 23.5239297031
11.525 11.7 -0.6 -0.45 -1.8 -1.7 24.8444606266
11.525 11.7 -0.6 -0.45 -1.7 -1.6 24.8052898057
11.525 11.7 -0.6 -0.45 -1.6 -1.5 26.5141111375
11.525 11.7 -0.6 -0.45 -1.5 -1.4 25.775212743
11.525 11.7 -0.6 -0.45 -1.4 -1.3 28.1848302409
11.525 11.7 -0.6 -0.45 -1.3 -1.2 29.0263020818
11.525 11.7 -0.6 -0.45 -1.2 -1.1 31.8252657306
11.525 11.7 -0.6 -0.45 -1.1 -1.0 34.1825864629
11.525 11.7 -0.6 -0.45 -1.0 -0.9 36.7140615963
11.525 11.7 -0.6 -0.45 -0.9 -0.8 38.1038193386
11.525 11.7 -0.6 -0.45 -0.8 -0.7 40.0984047677
11.525 11.7 -0.6 -0.45 -0.7 -0.6 41.4754692402
11.525 11.7 -0.6 -0.45 -0.6 -0.5 43.2999146166
11.525 11.7 -0.45 -0.3 -2.5 -2.4 20.6663960293
11.525 11.7 -0.45 -0.3 -2.4 -2.3 44.4721443765
11.525 11.7 -0.45 -0.3 -2.3 -2.2 27.0781245523
11.525 11.7 -0.45 -0.3 -2.2 -2.1 27.6209798887
11.525 11.7 -0.45 -0.3 -2.1 -2.0 33.7924896921
11.525 11.7 -0.45 -0.3 -2.0 -1.9 21.2438300198
11.525 11.7 -0.45 -0.3 -1.9 -1.8 31.2568515889
11.525 11.7 -0.45 -0.3 -1.8 -1.7 31.9595022283
11.525 11.7 -0.45 -0.3 -1.7 -1.6 33.3281069835
11.525 11.7 -0.45 -0.3 -1.6 -1.5 35.12444167
11.525 11.7 -0.45 -0.3 -1.5 -1.4 29.6832307702
11.525 11.7 -0.45 -0.3 -1.4 -1.3 34.9830866954
11.525 11.7 -0.45 -0.3 -1.3 -1.2 35.6483932948
11.525 11.7 -0.45 -0.3 -1.2 -1.1 37.5174311493
11.525 11.7 -0.45 -0.3 -1.1 -1.0 40.0988760981
11.525 11.7 -0.45 -0.3 -1.0 -0.9 42.1402179593
11.525 11.7 -0.45 -0.3 -0.9 -0.8 45.0349715733
11.525 11.7 -0.45 -0.3 -0.8 -0.7 47.380751975
11.525 11.7 -0.45 -0.3 -0.7 -0.6 49.5926602105
11.525 11.7 -0.45 -0.3 -0.6 -0.5 52.4032505755
11.525 11.7 -0.3 -0.15 -2.5 -2.4 25.4458713387
11.525 11.7 -0.3 -0.15 -2.4 -2.3 43.289630565
11.525 11.7 -0.3 -0.15 -2.3 -2.2 33.2109514963
11.525 11.7 -0.3 -0.15 -2.2 -2.1 32.101352105
11.525 11.7 -0.3 -0.15 -2.1 -2.0 36.2104289106
11.525 11.7 -0.3 -0.15 -2.0 -1.9 25.3419652105
11.525 11.7 -0.3 -0.15 -1.9 -1.8 35.1583609218
11.525 11.7 -0.3 -0.15 -1.8 -1.7 33.5395507585
11.525 11.7 -0.3 -0.15 -1.7 -1.6 41.2654214799
11.525 11.7 -0.3 -0.15 -1.6 -1.5 37.8377003736
11.525 11.7 -0.3 -0.15 -1.5 -1.4 35.6277457588
11.525 11.7 -0.3 -0.15 -1.4 -1.3 45.9548412372
11.525 11.7 -0.3 -0.15 -1.3 -1.2 43.1735790856
11.525 11.7 -0.3 -0.15 -1.2 -1.1 47.0020582109
11.525 11.7 -0.3 -0.15 -1.1 -1.0 48.1916166973
11.525 11.7 -0.3 -0.15 -1.0 -0.9 50.1978251719
11.525 11.7 -0.3 -0.15 -0.9 -0.8 52.2552591942
11.525 11.7 -0.3 -0.15 -0.8 -0.7 55.6771574024
11.525 11.7 -0.3 -0.15 -0.7 -0.6 58.8890470403
11.525 11.7 -0.3 -0.15 -0.6 -0.5 62.3705036931
11.525 11.7 -0.15 0.0 -2.5 -2.4 28.8922278669
11.525 11.7 -0.15 0.0 -2.4 -2.3 41.6950058004
11.525 11.7 -0.15 0.0 -2.3 -2.2 28.8754383824
11.525 11.7 -0.15 0.0 -2.2 -2.1 39.493256793
11.525 11.7 -0.15 0.0 -2.1 -2.0 41.2140334788
11.525 11.7 -0.15 0.0 -2.0 -1.9 28.9912241003
11.525 11.7 -0.15 0.0 -1.9 -1.8 32.9878687224
11.525 11.7 -0.15 0.0 -1.8 -1.7 36.2272380869
11.525 11.7 -0.15 0.0 -1.7 -1.6 38.8780863229
11.525 11.7 -0.15 0.0 -1.6 -1.5 39.6323373822
11.525 11.7 -0.15 0.0 -1.5 -1.4 36.7340984344
11.525 11.7 -0.15 0.0 -1.4 -1.3 45.3959244582
11.525 11.7 -0.15 0.0 -1.3 -1.2 49.1159587197
11.525 11.7 -0.15 0.0 -1.2 -1.1 44.6817480112
11.525 11.7 -0.15 0.0 -1.1 -1.0 46.1248972189
11.525 11.7 -0.15 0.0 -1.0 -0.9 51.2459941646
11.525 11.7 -0.15 0.0 -0.9 -0.8 48.8397056814
11.525 11.7 -0.15 0.0 -0.8 -0.7 43.9836532737
11.525 11.7 -0.15 0.0 -0.7 -0.6 33.4336052847
11.525 11.7 -0.15 0.0 -0.6 -0.5 27.2117463139
11.7 11.875 -3.0 -2.85 -2.5 -2.4 1.04966155464
11.7 11.875 -3.0 -2.85 -2.4 -2.3 1.22003052413
11.7 11.875 -3.0 -2.85 -2.3 -2.2 1.39648650949
11.7 11.875 -3.0 -2.85 -2.2 -2.1 1.53445167121
11.7 11.875 -3.0 -2.85 -2.1 -2.0 1.81966104089
11.7 11.875 -3.0 -2.85 -2.0 -1.9 2.09963958409
11.7 11.875 -3.0 -2.85 -1.9 -1.8 2.42206947632
11.7 11.875 -3.0 -2.85 -1.8 -1.7 2.80750185265
11.7 11.875 -3.0 -2.85 -1.7 -1.6 3.31726127352
11.7 11.875 -3.0 -2.85 -1.6 -1.5 3.79386257596
11.7 11.875 -3.0 -2.85 -1.5 -1.4 4.64565854955
11.7 11.875 -3.0 -2.85 -1.4 -1.3 5.4619999439
11.7 11.875 -3.0 -2.85 -1.3 -1.2 6.52489727013
11.7 11.875 -3.0 -2.85 -1.2 -1.1 8.03330183856
11.7 11.875 -3.0 -2.85 -1.1 -1.0 9.44469600971
11.7 11.875 -3.0 -2.85 -1.0 -0.9 11.8289991601
11.7 11.875 -3.0 -2.85 -0.9 -0.8 12.916736472
11.7 11.875 -3.0 -2.85 -0.8 -0.7 15.6203031135
11.7 11.875 -3.0 -2.85 -0.7 -0.6 17.2680958594
11.7 11.875 -3.0 -2.85 -0.6 -0.5 21.3741739086
11.7 11.875 -2.85 -2.7 -2.5 -2.4 1.07670165622
11.7 11.875 -2.85 -2.7 -2.4 -2.3 1.22851669166
11.7 11.875 -2.85 -2.7 -2.3 -2.2 1.38562965475
11.7 11.875 -2.85 -2.7 -2.2 -2.1 1.53686025819
11.7 11.875 -2.85 -2.7 -2.1 -2.0 1.80388561983
11.7 11.875 -2.85 -2.7 -2.0 -1.9 2.10412942447
11.7 11.875 -2.85 -2.7 -1.9 -1.8 2.40492528014
11.7 11.875 -2.85 -2.7 -1.8 -1.7 2.79073884653
11.7 11.875 -2.85 -2.7 -1.7 -1.6 3.28384753808
11.7 11.875 -2.85 -2.7 -1.6 -1.5 3.77597357081
11.7 11.875 -2.85 -2.7 -1.5 -1.4 4.58516016213
11.7 11.875 -2.85 -2.7 -1.4 -1.3 5.38531122443
11.7 11.875 -2.85 -2.7 -1.3 -1.2 6.56615249666
11.7 11.875 -2.85 -2.7 -1.2 -1.1 7.6821631954
11.7 11.875 -2.85 -2.7 -1.1 -1.0 9.54700982692
11.7 11.875 -2.85 -2.7 -1.0 -0.9 10.8568204438
11.7 11.875 -2.85 -2.7 -0.9 -0.8 13.9455808586
11.7 11.875 -2.85 -2.7 -0.8 -0.7 14.9761271251
11.7 11.875 -2.85 -2.7 -0.7 -0.6 22.0898811468
11.7 11.875 -2.85 -2.7 -0.6 -0.5 25.384652076
11.7 11.875 -2.7 -2.55 -2.5 -2.4 1.12053040257
11.7 11.875 -2.7 -2.55 -2.4 -2.3 1.2645055075
11.7 11.875 -2.7 -2.55 -2.3 -2.2 1.40946239559
11.7 11.875 -2.7 -2.55 -2.2 -2.1 1.53959776397
11.7 11.875 -2.7 -2.55 -2.1 -2.0 1.79894706742
11.7 11.875 -2.7 -2.55 -2.0 -1.9 2.08844705029
11.7 11.875 -2.7 -2.55 -1.9 -1.8 2.39565439225
11.7 11.875 -2.7 -2.55 -1.8 -1.7 2.79317922602
11.7 11.875 -2.7 -2.55 -1.7 -1.6 3.26718016745
11.7 11.875 -2.7 -2.55 -1.6 -1.5 3.77544593141
11.7 11.875 -2.7 -2.55 -1.5 -1.4 4.57014620903
11.7 11.875 -2.7 -2.55 -1.4 -1.3 5.40079042902
11.7 11.875 -2.7 -2.55 -1.3 -1.2 6.57150303774
11.7 11.875 -2.7 -2.55 -1.2 -1.1 7.81415021274
11.7 11.875 -2.7 -2.55 -1.1 -1.0 9.71273728684
11.7 11.875 -2.7 -2.55 -1.0 -0.9 11.247822913
11.7 11.875 -2.7 -2.55 -0.9 -0.8 13.7608961508
11.7 11.875 -2.7 -2.55 -0.8 -0.7 16.4834886506
11.7 11.875 -2.7 -2.55 -0.7 -0.6 16.9659796171
11.7 11.875 -2.7 -2.55 -0.6 -0.5 17.660460951
11.7 11.875 -2.55 -2.4 -2.5 -2.4 1.22117228059
11.7 11.875 -2.55 -2.4 -2.4 -2.3 1.32888829583
11.7 11.875 -2.55 -2.4 -2.3 -2.2 1.44134665325
11.7 11.875 -2.55 -2.4 -2.2 -2.1 1.58185824492
11.7 11.875 -2.55 -2.4 -2.1 -2.0 1.83046255702
11.7 11.875 -2.55 -2.4 -2.0 -1.9 2.10099891104
11.7 11.875 -2.55 -2.4 -1.9 -1.8 2.37715025458
11.7 11.875 -2.55 -2.4 -1.8 -1.7 2.76665979985
11.7 11.875 -2.55 -2.4 -1.7 -1.6 3.20312223167
11.7 11.875 -2.55 -2.4 -1.6 -1.5 3.74386696745
11.7 11.875 -2.55 -2.4 -1.5 -1.4 4.55120135846
11.7 11.875 -2.55 -2.4 -1.4 -1.3 5.39868898054
11.7 11.875 -2.55 -2.4 -1.3 -1.2 6.53999323688
11.7 11.875 -2.55 -2.4 -1.2 -1.1 7.84613645709
11.7 11.875 -2.55 -2.4 -1.1 -1.0 9.63267834399
11.7 11.875 -2.55 -2.4 -1.0 -0.9 11.3537319155
11.7 11.875 -2.55 -2.4 -0.9 -0.8 13.0483864149
11.7 11.875 -2.55 -2.4 -0.8 -0.7 15.1812857503
11.7 11.875 -2.55 -2.4 -0.7 -0.6 18.2532856477
11.7 11.875 -2.55 -2.4 -0.6 -0.5 21.6307832224
11.7 11.875 -2.4 -2.25 -2.5 -2.4 1.41565209768
11.7 11.875 -2.4 -2.25 -2.4 -2.3 1.48103630355
11.7 11.875 -2.4 -2.25 -2.3 -2.2 1.58214480289
11.7 11.875 -2.4 -2.25 -2.2 -2.1 1.68862966742
11.7 11.875 -2.4 -2.25 -2.1 -2.0 1.87045837738
11.7 11.875 -2.4 -2.25 -2.0 -1.9 2.10816518001
11.7 11.875 -2.4 -2.25 -1.9 -1.8 2.37997930817
11.7 11.875 -2.4 -2.25 -1.8 -1.7 2.7364991898
11.7 11.875 -2.4 -2.25 -1.7 -1.6 3.16034632167
11.7 11.875 -2.4 -2.25 -1.6 -1.5 3.68132031221
11.7 11.875 -2.4 -2.25 -1.5 -1.4 4.41133096392
11.7 11.875 -2.4 -2.25 -1.4 -1.3 5.35449188923
11.7 11.875 -2.4 -2.25 -1.3 -1.2 6.37957644495
11.7 11.875 -2.4 -2.25 -1.2 -1.1 7.98843426814
11.7 11.875 -2.4 -2.25 -1.1 -1.0 9.51523954828
11.7 11.875 -2.4 -2.25 -1.0 -0.9 11.2080396656
11.7 11.875 -2.4 -2.25 -0.9 -0.8 12.8053335622
11.7 11.875 -2.4 -2.25 -0.8 -0.7 15.9794517217
11.7 11.875 -2.4 -2.25 -0.7 -0.6 20.0994353074
11.7 11.875 -2.4 -2.25 -0.6 -0.5 22.1292694156
11.7 11.875 -2.25 -2.1 -2.5 -2.4 1.75123099933
11.7 11.875 -2.25 -2.1 -2.4 -2.3 1.75136805844
11.7 11.875 -2.25 -2.1 -2.3 -2.2 1.87124441976
11.7 11.875 -2.25 -2.1 -2.2 -2.1 1.92058184164
11.7 11.875 -2.25 -2.1 -2.1 -2.0 2.06306177993
11.7 11.875 -2.25 -2.1 -2.0 -1.9 2.22498053495
11.7 11.875 -2.25 -2.1 -1.9 -1.8 2.44797119578
11.7 11.875 -2.25 -2.1 -1.8 -1.7 2.75249226887
11.7 11.875 -2.25 -2.1 -1.7 -1.6 3.1165729505
11.7 11.875 -2.25 -2.1 -1.6 -1.5 3.60382898777
11.7 11.875 -2.25 -2.1 -1.5 -1.4 4.31728486835
11.7 11.875 -2.25 -2.1 -1.4 -1.3 5.23013313145
11.7 11.875 -2.25 -2.1 -1.3 -1.2 6.35380284389
11.7 11.875 -2.25 -2.1 -1.2 -1.1 7.60070951713
11.7 11.875 -2.25 -2.1 -1.1 -1.0 9.29768833697
11.7 11.875 -2.25 -2.1 -1.0 -0.9 11.0448921173
11.7 11.875 -2.25 -2.1 -0.9 -0.8 13.2620457625
11.7 11.875 -2.25 -2.1 -0.8 -0.7 15.6934008792
11.7 11.875 -2.25 -2.1 -0.7 -0.6 16.3741630495
11.7 11.875 -2.25 -2.1 -0.6 -0.5 23.8716580049
11.7 11.875 -2.1 -1.95 -2.5 -2.4 2.18070378621
11.7 11.875 -2.1 -1.95 -2.4 -2.3 2.16687105381
11.7 11.875 -2.1 -1.95 -2.3 -2.2 2.31591806214
11.7 11.875 -2.1 -1.95 -2.2 -2.1 2.38668445757
11.7 11.875 -2.1 -1.95 -2.1 -2.0 2.44170794016
11.7 11.875 -2.1 -1.95 -2.0 -1.9 2.53821415884
11.7 11.875 -2.1 -1.95 -1.9 -1.8 2.70704490734
11.7 11.875 -2.1 -1.95 -1.8 -1.7 2.88473705177
11.7 11.875 -2.1 -1.95 -1.7 -1.6 3.1917761791
11.7 11.875 -2.1 -1.95 -1.6 -1.5 3.56048368555
11.7 11.875 -2.1 -1.95 -1.5 -1.4 4.24421801772
11.7 11.875 -2.1 -1.95 -1.4 -1.3 5.10555905856
11.7 11.875 -2.1 -1.95 -1.3 -1.2 6.27343455632
11.7 11.875 -2.1 -1.95 -1.2 -1.1 7.56162908813
11.7 11.875 -2.1 -1.95 -1.1 -1.0 9.28225810518
11.7 11.875 -2.1 -1.95 -1.0 -0.9 11.2330865211
11.7 11.875 -2.1 -1.95 -0.9 -0.8 13.0969363725
11.7 11.875 -2.1 -1.95 -0.8 -0.7 15.3659429837
11.7 11.875 -2.1 -1.95 -0.7 -0.6 16.8912020953
11.7 11.875 -2.1 -1.95 -0.6 -0.5 20.0736596604
11.7 11.875 -1.95 -1.8 -2.5 -2.4 2.72927035781
11.7 11.875 -1.95 -1.8 -2.4 -2.3 2.68428040922
11.7 11.875 -1.95 -1.8 -2.3 -2.2 3.12436041629
11.7 11.875 -1.95 -1.8 -2.2 -2.1 3.04621440316
11.7 11.875 -1.95 -1.8 -2.1 -2.0 3.10127331827
11.7 11.875 -1.95 -1.8 -2.0 -1.9 3.111246708
11.7 11.875 -1.95 -1.8 -1.9 -1.8 3.18853643047
11.7 11.875 -1.95 -1.8 -1.8 -1.7 3.3135588028
11.7 11.875 -1.95 -1.8 -1.7 -1.6 3.47663297159
11.7 11.875 -1.95 -1.8 -1.6 -1.5 3.71288031768
11.7 11.875 -1.95 -1.8 -1.5 -1.4 4.22697788902
11.7 11.875 -1.95 -1.8 -1.4 -1.3 4.96247104408
11.7 11.875 -1.95 -1.8 -1.3 -1.2 6.08042435903
11.7 11.875 -1.95 -1.8 -1.2 -1.1 7.32505810442
11.7 11.875 -1.95 -1.8 -1.1 -1.0 9.05246257667
11.7 11.875 -1.95 -1.8 -1.0 -0.9 10.9780080422
11.7 11.875 -1.95 -1.8 -0.9 -0.8 13.0340645274
11.7 11.875 -1.95 -1.8 -0.8 -0.7 15.539399193
11.7 11.875 -1.95 -1.8 -0.7 -0.6 18.0185971521
11.7 11.875 -1.95 -1.8 -0.6 -0.5 21.9044577138
11.7 11.875 -1.8 -1.65 -2.5 -2.4 3.39729683291
11.7 11.875 -1.8 -1.65 -2.4 -2.3 3.29037071148
11.7 11.875 -1.8 -1.65 -2.3 -2.2 3.8764832673
11.7 11.875 -1.8 -1.65 -2.2 -2.1 3.85657087015
11.7 11.875 -1.8 -1.65 -2.1 -2.0 3.91669655706
11.7 11.875 -1.8 -1.65 -2.0 -1.9 3.91481452151
11.7 11.875 -1.8 -1.65 -1.9 -1.8 3.97006279669
11.7 11.875 -1.8 -1.65 -1.8 -1.7 4.11783901801
11.7 11.875 -1.8 -1.65 -1.7 -1.6 4.176105638
11.7 11.875 -1.8 -1.65 -1.6 -1.5 4.29427143236
11.7 11.875 -1.8 -1.65 -1.5 -1.4 4.54578873524
11.7 11.875 -1.8 -1.65 -1.4 -1.3 5.08512721676
11.7 11.875 -1.8 -1.65 -1.3 -1.2 5.92399153841
11.7 11.875 -1.8 -1.65 -1.2 -1.1 7.14740026304
11.7 11.875 -1.8 -1.65 -1.1 -1.0 8.77889607888
11.7 11.875 -1.8 -1.65 -1.0 -0.9 10.510782004
11.7 11.875 -1.8 -1.65 -0.9 -0.8 12.6503741858
11.7 11.875 -1.8 -1.65 -0.8 -0.7 15.33485113
11.7 11.875 -1.8 -1.65 -0.7 -0.6 16.9341773915
11.7 11.875 -1.8 -1.65 -0.6 -0.5 21.0243737971
11.7 11.875 -1.65 -1.5 -2.5 -2.4 4.18257446936
11.7 11.875 -1.65 -1.5 -2.4 -2.3 4.16629526597
11.7 11.875 -1.65 -1.5 -2.3 -2.2 4.90843066456
11.7 11.875 -1.65 -1.5 -2.2 -2.1 4.6675230482
11.7 11.875 -1.65 -1.5 -2.1 -2.0 4.83042632714
11.7 11.875 -1.65 -1.5 -2.0 -1.9 4.83168520797
11.7 11.875 -1.65 -1.5 -1.9 -1.8 5.00053385063
11.7 11.875 -1.65 -1.5 -1.8 -1.7 5.25319611673
11.7 11.875 -1.65 -1.5 -1.7 -1.6 5.3327036878
11.7 11.875 -1.65 -1.5 -1.6 -1.5 5.42503290306
11.7 11.875 -1.65 -1.5 -1.5 -1.4 5.49729703381
11.7 11.875 -1.65 -1.5 -1.4 -1.3 5.70315583941
11.7 11.875 -1.65 -1.5 -1.3 -1.2 6.24405287745
11.7 11.875 -1.65 -1.5 -1.2 -1.1 7.16273905436
11.7 11.875 -1.65 -1.5 -1.1 -1.0 8.49294179221
11.7 11.875 -1.65 -1.5 -1.0 -0.9 10.2595549439
11.7 11.875 -1.65 -1.5 -0.9 -0.8 12.2450480513
11.7 11.875 -1.65 -1.5 -0.8 -0.7 14.9547814633
11.7 11.875 -1.65 -1.5 -0.7 -0.6 17.3471399513
11.7 11.875 -1.65 -1.5 -0.6 -0.5 22.1213015451
11.7 11.875 -1.5 -1.35 -2.5 -2.4 5.08271307236
11.7 11.875 -1.5 -1.35 -2.4 -2.3 5.23700135075
11.7 11.875 -1.5 -1.35 -2.3 -2.2 5.85157279423
11.7 11.875 -1.5 -1.35 -2.2 -2.1 5.97632853355
11.7 11.875 -1.5 -1.35 -2.1 -2.0 5.99305867024
11.7 11.875 -1.5 -1.35 -2.0 -1.9 6.05626335992
11.7 11.875 -1.5 -1.35 -1.9 -1.8 6.25915519366
11.7 11.875 -1.5 -1.35 -1.8 -1.7 6.69699772155
11.7 11.875 -1.5 -1.35 -1.7 -1.6 6.74444109155
11.7 11.875 -1.5 -1.35 -1.6 -1.5 7.0615203426
11.7 11.875 -1.5 -1.35 -1.5 -1.4 7.13515960198
11.7 11.875 -1.5 -1.35 -1.4 -1.3 7.13105217425
11.7 11.875 -1.5 -1.35 -1.3 -1.2 7.32067147047
11.7 11.875 -1.5 -1.35 -1.2 -1.1 7.77488689342
11.7 11.875 -1.5 -1.35 -1.1 -1.0 8.67041032047
11.7 11.875 -1.5 -1.35 -1.0 -0.9 10.1100433094
11.7 11.875 -1.5 -1.35 -0.9 -0.8 12.0753245599
11.7 11.875 -1.5 -1.35 -0.8 -0.7 14.6615481498
11.7 11.875 -1.5 -1.35 -0.7 -0.6 17.5636103231
11.7 11.875 -1.5 -1.35 -0.6 -0.5 21.177611589
11.7 11.875 -1.35 -1.2 -2.5 -2.4 6.15077906452
11.7 11.875 -1.35 -1.2 -2.4 -2.3 6.64598055398
11.7 11.875 -1.35 -1.2 -2.3 -2.2 7.2754208793
11.7 11.875 -1.35 -1.2 -2.2 -2.1 7.22662887399
11.7 11.875 -1.35 -1.2 -2.1 -2.0 7.54062057294
11.7 11.875 -1.35 -1.2 -2.0 -1.9 7.51728826159
11.7 11.875 -1.35 -1.2 -1.9 -1.8 7.73346735896
11.7 11.875 -1.35 -1.2 -1.8 -1.7 8.39156593656
11.7 11.875 -1.35 -1.2 -1.7 -1.6 8.54728211551
11.7 11.875 -1.35 -1.2 -1.6 -1.5 9.08868495173
11.7 11.875 -1.35 -1.2 -1.5 -1.4 9.23441120965
11.7 11.875 -1.35 -1.2 -1.4 -1.3 9.33662722713
11.7 11.875 -1.35 -1.2 -1.3 -1.2 9.50890938619
11.7 11.875 -1.35 -1.2 -1.2 -1.1 9.62326239932
11.7 11.875 -1.35 -1.2 -1.1 -1.0 9.98962509091
11.7 11.875 -1.35 -1.2 -1.0 -0.9 10.8568664981
11.7 11.875 -1.35 -1.2 -0.9 -0.8 12.1174731004
11.7 11.875 -1.35 -1.2 -0.8 -0.7 14.5530020855
11.7 11.875 -1.35 -1.2 -0.7 -0.6 16.5793999706
11.7 11.875 -1.35 -1.2 -0.6 -0.5 20.0082272611
11.7 11.875 -1.2 -1.05 -2.5 -2.4 7.7466447946
11.7 11.875 -1.2 -1.05 -2.4 -2.3 7.91982426013
11.7 11.875 -1.2 -1.05 -2.3 -2.2 9.06665611067
11.7 11.875 -1.2 -1.05 -2.2 -2.1 8.77666883622
11.7 11.875 -1.2 -1.05 -2.1 -2.0 9.32549435989
11.7 11.875 -1.2 -1.05 -2.0 -1.9 9.44637152296
11.7 11.875 -1.2 -1.05 -1.9 -1.8 9.66424386126
11.7 11.875 -1.2 -1.05 -1.8 -1.7 10.482091536
11.7 11.875 -1.2 -1.05 -1.7 -1.6 10.7739217528
11.7 11.875 -1.2 -1.05 -1.6 -1.5 11.6168726033
11.7 11.875 -1.2 -1.05 -1.5 -1.4 11.7705037103
11.7 11.875 -1.2 -1.05 -1.4 -1.3 11.968422505
11.7 11.875 -1.2 -1.05 -1.3 -1.2 12.289458415
11.7 11.875 -1.2 -1.05 -1.2 -1.1 12.637859948
11.7 11.875 -1.2 -1.05 -1.1 -1.0 12.7777716175
11.7 11.875 -1.2 -1.05 -1.0 -0.9 13.1384585193
11.7 11.875 -1.2 -1.05 -0.9 -0.8 13.8265340415
11.7 11.875 -1.2 -1.05 -0.8 -0.7 15.1528891336
11.7 11.875 -1.2 -1.05 -0.7 -0.6 17.1138648077
11.7 11.875 -1.2 -1.05 -0.6 -0.5 20.8961054097
11.7 11.875 -1.05 -0.9 -2.5 -2.4 9.37389344931
11.7 11.875 -1.05 -0.9 -2.4 -2.3 9.96155579109
11.7 11.875 -1.05 -0.9 -2.3 -2.2 11.0231795603
11.7 11.875 -1.05 -0.9 -2.2 -2.1 10.6041381451
11.7 11.875 -1.05 -0.9 -2.1 -2.0 11.8085435392
11.7 11.875 -1.05 -0.9 -2.0 -1.9 11.2708466736
11.7 11.875 -1.05 -0.9 -1.9 -1.8 12.4895825326
11.7 11.875 -1.05 -0.9 -1.8 -1.7 13.0993875995
11.7 11.875 -1.05 -0.9 -1.7 -1.6 13.4993881811
11.7 11.875 -1.05 -0.9 -1.6 -1.5 14.6477127337
11.7 11.875 -1.05 -0.9 -1.5 -1.4 15.5400459521
11.7 11.875 -1.05 -0.9 -1.4 -1.3 15.4124889576
11.7 11.875 -1.05 -0.9 -1.3 -1.2 15.6903982772
11.7 11.875 -1.05 -0.9 -1.2 -1.1 16.5702429653
11.7 11.875 -1.05 -0.9 -1.1 -1.0 16.9866783732
11.7 11.875 -1.05 -0.9 -1.0 -0.9 17.1230975735
11.7 11.875 -1.05 -0.9 -0.9 -0.8 17.397041906
11.7 11.875 -1.05 -0.9 -0.8 -0.7 18.4506402383
11.7 11.875 -1.05 -0.9 -0.7 -0.6 20.1670571169
11.7 11.875 -1.05 -0.9 -0.6 -0.5 22.3151300725
11.7 11.875 -0.9 -0.75 -2.5 -2.4 11.612842399
11.7 11.875 -0.9 -0.75 -2.4 -2.3 12.7875200918
11.7 11.875 -0.9 -0.75 -2.3 -2.2 12.9464898452
11.7 11.875 -0.9 -0.75 -2.2 -2.1 12.6968902349
11.7 11.875 -0.9 -0.75 -2.1 -2.0 14.0097848325
11.7 11.875 -0.9 -0.75 -2.0 -1.9 13.6699347712
11.7 11.875 -0.9 -0.75 -1.9 -1.8 14.6417363236
11.7 11.875 -0.9 -0.75 -1.8 -1.7 15.9595006227
11.7 11.875 -0.9 -0.75 -1.7 -1.6 16.8674935803
11.7 11.875 -0.9 -0.75 -1.6 -1.5 17.9896473126
11.7 11.875 -0.9 -0.75 -1.5 -1.4 19.0862937451
11.7 11.875 -0.9 -0.75 -1.4 -1.3 19.5214164681
11.7 11.875 -0.9 -0.75 -1.3 -1.2 20.5042318926
11.7 11.875 -0.9 -0.75 -1.2 -1.1 21.5229580216
11.7 11.875 -0.9 -0.75 -1.1 -1.0 22.1850193659
11.7 11.875 -0.9 -0.75 -1.0 -0.9 22.8770373519
11.7 11.875 -0.9 -0.75 -0.9 -0.8 23.1765419561
11.7 11.875 -0.9 -0.75 -0.8 -0.7 23.3599529938
11.7 11.875 -0.9 -0.75 -0.7 -0.6 24.5310310613
11.7 11.875 -0.9 -0.75 -0.6 -0.5 26.0313683949
11.7 11.875 -0.75 -0.6 -2.5 -2.4 13.2792655583
11.7 11.875 -0.75 -0.6 -2.4 -2.3 18.6177558371
11.7 11.875 -0.75 -0.6 -2.3 -2.2 14.9791851438
11.7 11.875 -0.75 -0.6 -2.2 -2.1 16.4981251513
11.7 11.875 -0.75 -0.6 -2.1 -2.0 17.7661990248
11.7 11.875 -0.75 -0.6 -2.0 -1.9 15.3410892801
11.7 11.875 -0.75 -0.6 -1.9 -1.8 17.8794455119
11.7 11.875 -0.75 -0.6 -1.8 -1.7 19.0503214171
11.7 11.875 -0.75 -0.6 -1.7 -1.6 19.7816465022
11.7 11.875 -0.75 -0.6 -1.6 -1.5 21.9065498091
11.7 11.875 -0.75 -0.6 -1.5 -1.4 21.9748521842
11.7 11.875 -0.75 -0.6 -1.4 -1.3 23.4642293136
