#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Dir
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Dir
11.7 11.875 -0.15 0.0 -1.5 -1.4 120.106713359
11.7 11.875 -0.15 0.0 -1.4 -1.3 120.450614857
11.7 11.875 -0.15 0.0 -1.3 -1.2 122.186034851
11.7 11.875 -0.15 0.0 -1.2 -1.1 118.18541727
11.7 11.875 -0.15 0.0 -1.1 -1.0 126.564134899
11.7 11.875 -0.15 0.0 -1.0 -0.9 114.860779286
11.7 11.875 -0.15 0.0 -0.9 -0.8 131.067298441
11.7 11.875 -0.15 0.0 -0.8 -0.7 139.675657442
11.7 11.875 -0.15 0.0 -0.7 -0.6 116.216756134
11.7 11.875 -0.15 0.0 -0.6 -0.5 86.5983159112
11.875 12.05 -3.0 -2.85 -2.5 -2.4 81.8255119811
11.875 12.05 -3.0 -2.85 -2.4 -2.3 80.2445733337
11.875 12.05 -3.0 -2.85 -2.3 -2.2 76.7752977013
11.875 12.05 -3.0 -2.85 -2.2 -2.1 75.772858785
11.875 12.05 -3.0 -2.85 -2.1 -2.0 73.6629370747
11.875 12.05 -3.0 -2.85 -2.0 -1.9 71.4979929069
11.875 12.05 -3.0 -2.85 -1.9 -1.8 69.184658388
11.875 12.05 -3.0 -2.85 -1.8 -1.7 66.6663445531
11.875 12.05 -3.0 -2.85 -1.7 -1.6 63.5131700417
11.875 12.05 -3.0 -2.85 -1.6 -1.5 60.8426229197
11.875 12.05 -3.0 -2.85 -1.5 -1.4 59.6078483988
11.875 12.05 -3.0 -2.85 -1.4 -1.3 61.1579781372
11.875 12.05 -3.0 -2.85 -1.3 -1.2 62.1654678864
11.875 12.05 -3.0 -2.85 -1.2 -1.1 66.402555932
11.875 12.05 -3.0 -2.85 -1.1 -1.0 70.2636323657
11.875 12.05 -3.0 -2.85 -1.0 -0.9 77.4460006
11.875 12.05 -3.0 -2.85 -0.9 -0.8 87.7217925824
11.875 12.05 -3.0 -2.85 -0.8 -0.7 98.4968568785
11.875 12.05 -3.0 -2.85 -0.7 -0.6 124.176439534
11.875 12.05 -3.0 -2.85 -0.6 -0.5 122.957082805
11.875 12.05 -2.85 -2.7 -2.5 -2.4 80.663479973
11.875 12.05 -2.85 -2.7 -2.4 -2.3 79.9309324314
11.875 12.05 -2.85 -2.7 -2.3 -2.2 76.5964672859
11.875 12.05 -2.85 -2.7 -2.2 -2.1 75.5791326191
11.875 12.05 -2.85 -2.7 -2.1 -2.0 73.9301947727
11.875 12.05 -2.85 -2.7 -2.0 -1.9 71.9176712584
11.875 12.05 -2.85 -2.7 -1.9 -1.8 69.2879750386
11.875 12.05 -2.85 -2.7 -1.8 -1.7 66.1628490934
11.875 12.05 -2.85 -2.7 -1.7 -1.6 63.892561773
11.875 12.05 -2.85 -2.7 -1.6 -1.5 61.9558894505
11.875 12.05 -2.85 -2.7 -1.5 -1.4 60.5407799448
11.875 12.05 -2.85 -2.7 -1.4 -1.3 61.6354873164
11.875 12.05 -2.85 -2.7 -1.3 -1.2 63.7369559075
11.875 12.05 -2.85 -2.7 -1.2 -1.1 64.5687845967
11.875 12.05 -2.85 -2.7 -1.1 -1.0 69.7132324907
11.875 12.05 -2.85 -2.7 -1.0 -0.9 76.603813304
11.875 12.05 -2.85 -2.7 -0.9 -0.8 82.5065303089
11.875 12.05 -2.85 -2.7 -0.8 -0.7 104.727074345
11.875 12.05 -2.85 -2.7 -0.7 -0.6 132.489881107
11.875 12.05 -2.85 -2.7 -0.6 -0.5 130.145901708
11.875 12.05 -2.7 -2.55 -2.5 -2.4 79.2941681217
11.875 12.05 -2.7 -2.55 -2.4 -2.3 77.8907286844
11.875 12.05 -2.7 -2.55 -2.3 -2.2 75.7232474102
11.875 12.05 -2.7 -2.55 -2.2 -2.1 76.1132056166
11.875 12.05 -2.7 -2.55 -2.1 -2.0 73.5914488998
11.875 12.05 -2.7 -2.55 -2.0 -1.9 72.9659615992
11.875 12.05 -2.7 -2.55 -1.9 -1.8 70.4731972793
11.875 12.05 -2.7 -2.55 -1.8 -1.7 67.1511975792
11.875 12.05 -2.7 -2.55 -1.7 -1.6 64.4076624
11.875 12.05 -2.7 -2.55 -1.6 -1.5 61.72739672
11.875 12.05 -2.7 -2.55 -1.5 -1.4 60.1371435828
11.875 12.05 -2.7 -2.55 -1.4 -1.3 60.7774503793
11.875 12.05 -2.7 -2.55 -1.3 -1.2 62.8601833147
11.875 12.05 -2.7 -2.55 -1.2 -1.1 65.8608101216
11.875 12.05 -2.7 -2.55 -1.1 -1.0 70.3137271673
11.875 12.05 -2.7 -2.55 -1.0 -0.9 78.4539544298
11.875 12.05 -2.7 -2.55 -0.9 -0.8 88.0000583093
11.875 12.05 -2.7 -2.55 -0.8 -0.7 95.1237428724
11.875 12.05 -2.7 -2.55 -0.7 -0.6 116.398004634
11.875 12.05 -2.7 -2.55 -0.6 -0.5 129.188898325
11.875 12.05 -2.55 -2.4 -2.5 -2.4 74.5803980962
11.875 12.05 -2.55 -2.4 -2.4 -2.3 75.3945342352
11.875 12.05 -2.55 -2.4 -2.3 -2.2 74.5278688395
11.875 12.05 -2.55 -2.4 -2.2 -2.1 74.6377625536
11.875 12.05 -2.55 -2.4 -2.1 -2.0 73.6616210147
11.875 12.05 -2.55 -2.4 -2.0 -1.9 73.0262739155
11.875 12.05 -2.55 -2.4 -1.9 -1.8 70.1526638486
11.875 12.05 -2.55 -2.4 -1.8 -1.7 67.1093380824
11.875 12.05 -2.55 -2.4 -1.7 -1.6 64.5014846201
11.875 12.05 -2.55 -2.4 -1.6 -1.5 62.1614144292
11.875 12.05 -2.55 -2.4 -1.5 -1.4 60.835017091
11.875 12.05 -2.55 -2.4 -1.4 -1.3 61.7878442911
11.875 12.05 -2.55 -2.4 -1.3 -1.2 63.2295850443
11.875 12.05 -2.55 -2.4 -1.2 -1.1 67.0965559204
11.875 12.05 -2.55 -2.4 -1.1 -1.0 71.4087016217
11.875 12.05 -2.55 -2.4 -1.0 -0.9 77.6515771664
11.875 12.05 -2.55 -2.4 -0.9 -0.8 83.9574735235
11.875 12.05 -2.55 -2.4 -0.8 -0.7 101.266806264
11.875 12.05 -2.55 -2.4 -0.7 -0.6 108.128326982
11.875 12.05 -2.55 -2.4 -0.6 -0.5 130.123469604
11.875 12.05 -2.4 -2.25 -2.5 -2.4 67.2155617547
11.875 12.05 -2.4 -2.25 -2.4 -2.3 69.8368598326
11.875 12.05 -2.4 -2.25 -2.3 -2.2 69.8126419982
11.875 12.05 -2.4 -2.25 -2.2 -2.1 70.578449575
11.875 12.05 -2.4 -2.25 -2.1 -2.0 71.6506264027
11.875 12.05 -2.4 -2.25 -2.0 -1.9 71.7508073405
11.875 12.05 -2.4 -2.25 -1.9 -1.8 70.2328096867
11.875 12.05 -2.4 -2.25 -1.8 -1.7 67.6800858224
11.875 12.05 -2.4 -2.25 -1.7 -1.6 65.2230631238
11.875 12.05 -2.4 -2.25 -1.6 -1.5 62.6435281026
11.875 12.05 -2.4 -2.25 -1.5 -1.4 61.5826008833
11.875 12.05 -2.4 -2.25 -1.4 -1.3 61.7892656737
11.875 12.05 -2.4 -2.25 -1.3 -1.2 62.6296293053
11.875 12.05 -2.4 -2.25 -1.2 -1.1 67.0863227834
11.875 12.05 -2.4 -2.25 -1.1 -1.0 73.1169399395
11.875 12.05 -2.4 -2.25 -1.0 -0.9 82.0568070168
11.875 12.05 -2.4 -2.25 -0.9 -0.8 86.1363329093
11.875 12.05 -2.4 -2.25 -0.8 -0.7 93.7618791933
11.875 12.05 -2.4 -2.25 -0.7 -0.6 117.623391764
11.875 12.05 -2.4 -2.25 -0.6 -0.5 130.81365285
11.875 12.05 -2.25 -2.1 -2.5 -2.4 58.8929644642
11.875 12.05 -2.25 -2.1 -2.4 -2.3 60.627558211
11.875 12.05 -2.25 -2.1 -2.3 -2.2 58.7926691219
11.875 12.05 -2.25 -2.1 -2.2 -2.1 62.9036932636
11.875 12.05 -2.25 -2.1 -2.1 -2.0 66.8781692188
11.875 12.05 -2.25 -2.1 -2.0 -1.9 68.6755078361
11.875 12.05 -2.25 -2.1 -1.9 -1.8 68.7511618589
11.875 12.05 -2.25 -2.1 -1.8 -1.7 67.1118730846
11.875 12.05 -2.25 -2.1 -1.7 -1.6 65.6425431722
11.875 12.05 -2.25 -2.1 -1.6 -1.5 63.190578339
11.875 12.05 -2.25 -2.1 -1.5 -1.4 62.1917621923
11.875 12.05 -2.25 -2.1 -1.4 -1.3 62.4324482363
11.875 12.05 -2.25 -2.1 -1.3 -1.2 63.2839251446
11.875 12.05 -2.25 -2.1 -1.2 -1.1 66.1669963853
11.875 12.05 -2.25 -2.1 -1.1 -1.0 71.3167220664
11.875 12.05 -2.25 -2.1 -1.0 -0.9 78.9849501018
11.875 12.05 -2.25 -2.1 -0.9 -0.8 86.1045932659
11.875 12.05 -2.25 -2.1 -0.8 -0.7 99.5127384618
11.875 12.05 -2.25 -2.1 -0.7 -0.6 116.61980969
11.875 12.05 -2.25 -2.1 -0.6 -0.5 130.929490094
11.875 12.05 -2.1 -1.95 -2.5 -2.4 53.4865741885
11.875 12.05 -2.1 -1.95 -2.4 -2.3 51.8573779781
11.875 12.05 -2.1 -1.95 -2.3 -2.2 50.3919794217
11.875 12.05 -2.1 -1.95 -2.2 -2.1 53.0416796648
11.875 12.05 -2.1 -1.95 -2.1 -2.0 57.1806333705
11.875 12.05 -2.1 -1.95 -2.0 -1.9 61.6944800922
11.875 12.05 -2.1 -1.95 -1.9 -1.8 63.7874140846
11.875 12.05 -2.1 -1.95 -1.8 -1.7 64.6103317093
11.875 12.05 -2.1 -1.95 -1.7 -1.6 64.03569056
11.875 12.05 -2.1 -1.95 -1.6 -1.5 63.2189954682
11.875 12.05 -2.1 -1.95 -1.5 -1.4 62.1153144067
11.875 12.05 -2.1 -1.95 -1.4 -1.3 62.2935816649
11.875 12.05 -2.1 -1.95 -1.3 -1.2 63.993282586
11.875 12.05 -2.1 -1.95 -1.2 -1.1 66.9818358201
11.875 12.05 -2.1 -1.95 -1.1 -1.0 72.0449992671
11.875 12.05 -2.1 -1.95 -1.0 -0.9 76.4732165235
11.875 12.05 -2.1 -1.95 -0.9 -0.8 84.5445371673
11.875 12.05 -2.1 -1.95 -0.8 -0.7 102.290563136
11.875 12.05 -2.1 -1.95 -0.7 -0.6 120.557901841
11.875 12.05 -2.1 -1.95 -0.6 -0.5 134.036580321
11.875 12.05 -1.95 -1.8 -2.5 -2.4 50.4162492276
11.875 12.05 -1.95 -1.8 -2.4 -2.3 46.8415997283
11.875 12.05 -1.95 -1.8 -2.3 -2.2 44.6477040475
11.875 12.05 -1.95 -1.8 -2.2 -2.1 45.1387298471
11.875 12.05 -1.95 -1.8 -2.1 -2.0 47.3975620838
11.875 12.05 -1.95 -1.8 -2.0 -1.9 51.6684195411
11.875 12.05 -1.95 -1.8 -1.9 -1.8 55.6885113962
11.875 12.05 -1.95 -1.8 -1.8 -1.7 59.114142661
11.875 12.05 -1.95 -1.8 -1.7 -1.6 60.5892494461
11.875 12.05 -1.95 -1.8 -1.6 -1.5 61.1836700567
11.875 12.05 -1.95 -1.8 -1.5 -1.4 61.109946227
11.875 12.05 -1.95 -1.8 -1.4 -1.3 62.7377514201
11.875 12.05 -1.95 -1.8 -1.3 -1.2 64.7062469941
11.875 12.05 -1.95 -1.8 -1.2 -1.1 66.5831386248
11.875 12.05 -1.95 -1.8 -1.1 -1.0 71.7406041557
11.875 12.05 -1.95 -1.8 -1.0 -0.9 79.3756540438
11.875 12.05 -1.95 -1.8 -0.9 -0.8 85.4507864494
11.875 12.05 -1.95 -1.8 -0.8 -0.7 98.2596279583
11.875 12.05 -1.95 -1.8 -0.7 -0.6 119.421959332
11.875 12.05 -1.95 -1.8 -0.6 -0.5 126.548762575
11.875 12.05 -1.8 -1.65 -2.5 -2.4 50.79776887
11.875 12.05 -1.8 -1.65 -2.4 -2.3 45.4198776469
11.875 12.05 -1.8 -1.65 -2.3 -2.2 38.303610264
11.875 12.05 -1.8 -1.65 -2.2 -2.1 39.8377908604
11.875 12.05 -1.8 -1.65 -2.1 -2.0 40.2184476089
11.875 12.05 -1.8 -1.65 -2.0 -1.9 42.7785304202
11.875 12.05 -1.8 -1.65 -1.9 -1.8 46.3492729269
11.875 12.05 -1.8 -1.65 -1.8 -1.7 49.9001635228
11.875 12.05 -1.8 -1.65 -1.7 -1.6 54.278763329
11.875 12.05 -1.8 -1.65 -1.6 -1.5 56.6736834464
11.875 12.05 -1.8 -1.65 -1.5 -1.4 58.9488039681
11.875 12.05 -1.8 -1.65 -1.4 -1.3 61.1085609825
11.875 12.05 -1.8 -1.65 -1.3 -1.2 63.2188577838
11.875 12.05 -1.8 -1.65 -1.2 -1.1 66.494488906
11.875 12.05 -1.8 -1.65 -1.1 -1.0 71.3871105336
11.875 12.05 -1.8 -1.65 -1.0 -0.9 79.2005174518
11.875 12.05 -1.8 -1.65 -0.9 -0.8 83.8492916109
11.875 12.05 -1.8 -1.65 -0.8 -0.7 98.1051910695
11.875 12.05 -1.8 -1.65 -0.7 -0.6 122.607503021
11.875 12.05 -1.8 -1.65 -0.6 -0.5 127.72336036
11.875 12.05 -1.65 -1.5 -2.5 -2.4 -99.0
11.875 12.05 -1.65 -1.5 -2.4 -2.3 45.4777776798
11.875 12.05 -1.65 -1.5 -2.3 -2.2 43.3287551999
11.875 12.05 -1.65 -1.5 -2.2 -2.1 37.3433892142
11.875 12.05 -1.65 -1.5 -2.1 -2.0 35.7509849321
11.875 12.05 -1.65 -1.5 -2.0 -1.9 36.3069222071
11.875 12.05 -1.65 -1.5 -1.9 -1.8 38.5670920358
11.875 12.05 -1.65 -1.5 -1.8 -1.7 42.3612514669
11.875 12.05 -1.65 -1.5 -1.7 -1.6 46.4283415878
11.875 12.05 -1.65 -1.5 -1.6 -1.5 50.2858727586
11.875 12.05 -1.65 -1.5 -1.5 -1.4 54.6409762947
11.875 12.05 -1.65 -1.5 -1.4 -1.3 57.9145036885
11.875 12.05 -1.65 -1.5 -1.3 -1.2 61.4418031398
11.875 12.05 -1.65 -1.5 -1.2 -1.1 64.976865186
11.875 12.05 -1.65 -1.5 -1.1 -1.0 70.3655594644
11.875 12.05 -1.65 -1.5 -1.0 -0.9 77.0885768684
11.875 12.05 -1.65 -1.5 -0.9 -0.8 84.6335966889
11.875 12.05 -1.65 -1.5 -0.8 -0.7 99.0821954759
11.875 12.05 -1.65 -1.5 -0.7 -0.6 116.006745588
11.875 12.05 -1.65 -1.5 -0.6 -0.5 127.669566606
11.875 12.05 -1.5 -1.35 -2.5 -2.4 63.4641619807
11.875 12.05 -1.5 -1.35 -2.4 -2.3 49.1031282766
11.875 12.05 -1.5 -1.35 -2.3 -2.2 42.3279354447
11.875 12.05 -1.5 -1.35 -2.2 -2.1 39.0415087189
11.875 12.05 -1.5 -1.35 -2.1 -2.0 32.7549623334
11.875 12.05 -1.5 -1.35 -2.0 -1.9 32.4518779712
11.875 12.05 -1.5 -1.35 -1.9 -1.8 32.6591924283
11.875 12.05 -1.5 -1.35 -1.8 -1.7 35.0797490343
11.875 12.05 -1.5 -1.35 -1.7 -1.6 39.0739389818
11.875 12.05 -1.5 -1.35 -1.6 -1.5 43.6599067074
11.875 12.05 -1.5 -1.35 -1.5 -1.4 48.2219776199
11.875 12.05 -1.5 -1.35 -1.4 -1.3 54.0018109667
11.875 12.05 -1.5 -1.35 -1.3 -1.2 58.5279369699
11.875 12.05 -1.5 -1.35 -1.2 -1.1 63.076425742
11.875 12.05 -1.5 -1.35 -1.1 -1.0 67.9560473805
11.875 12.05 -1.5 -1.35 -1.0 -0.9 75.1278335132
11.875 12.05 -1.5 -1.35 -0.9 -0.8 82.6357088537
11.875 12.05 -1.5 -1.35 -0.8 -0.7 96.477905832
11.875 12.05 -1.5 -1.35 -0.7 -0.6 112.284143178
11.875 12.05 -1.5 -1.35 -0.6 -0.5 120.568030341
11.875 12.05 -1.35 -1.2 -2.5 -2.4 71.597316726
11.875 12.05 -1.35 -1.2 -2.4 -2.3 54.6676079262
11.875 12.05 -1.35 -1.2 -2.3 -2.2 43.2952201508
11.875 12.05 -1.35 -1.2 -2.2 -2.1 40.1631774343
11.875 12.05 -1.35 -1.2 -2.1 -2.0 34.38470274
11.875 12.05 -1.35 -1.2 -2.0 -1.9 30.1861692349
11.875 12.05 -1.35 -1.2 -1.9 -1.8 29.5042250162
11.875 12.05 -1.35 -1.2 -1.8 -1.7 31.3559746929
11.875 12.05 -1.35 -1.2 -1.7 -1.6 32.8780097484
11.875 12.05 -1.35 -1.2 -1.6 -1.5 38.4563169331
11.875 12.05 -1.35 -1.2 -1.5 -1.4 42.529994832
11.875 12.05 -1.35 -1.2 -1.4 -1.3 48.481295747
11.875 12.05 -1.35 -1.2 -1.3 -1.2 53.8726736367
11.875 12.05 -1.35 -1.2 -1.2 -1.1 59.5413840614
11.875 12.05 -1.35 -1.2 -1.1 -1.0 65.5014751333
11.875 12.05 -1.35 -1.2 -1.0 -0.9 72.5045857327
11.875 12.05 -1.35 -1.2 -0.9 -0.8 79.786775201
11.875 12.05 -1.35 -1.2 -0.8 -0.7 91.2848907424
11.875 12.05 -1.35 -1.2 -0.7 -0.6 106.589244887
11.875 12.05 -1.35 -1.2 -0.6 -0.5 115.900430792
11.875 12.05 -1.2 -1.05 -2.5 -2.4 74.4484715819
11.875 12.05 -1.2 -1.05 -2.4 -2.3 62.2280994269
11.875 12.05 -1.2 -1.05 -2.3 -2.2 53.3146583861
11.875 12.05 -1.2 -1.05 -2.2 -2.1 47.6189051199
11.875 12.05 -1.2 -1.05 -2.1 -2.0 35.4613920994
11.875 12.05 -1.2 -1.05 -2.0 -1.9 31.5200725289
11.875 12.05 -1.2 -1.05 -1.9 -1.8 28.6611461028
11.875 12.05 -1.2 -1.05 -1.8 -1.7 28.8172451747
11.875 12.05 -1.2 -1.05 -1.7 -1.6 30.8653329843
11.875 12.05 -1.2 -1.05 -1.6 -1.5 33.5422089303
11.875 12.05 -1.2 -1.05 -1.5 -1.4 38.1163824298
11.875 12.05 -1.2 -1.05 -1.4 -1.3 42.9499514434
11.875 12.05 -1.2 -1.05 -1.3 -1.2 48.9650688246
11.875 12.05 -1.2 -1.05 -1.2 -1.1 56.3621718736
11.875 12.05 -1.2 -1.05 -1.1 -1.0 62.7445525825
11.875 12.05 -1.2 -1.05 -1.0 -0.9 70.3793676411
11.875 12.05 -1.2 -1.05 -0.9 -0.8 76.7453870034
11.875 12.05 -1.2 -1.05 -0.8 -0.7 86.9574640221
11.875 12.05 -1.2 -1.05 -0.7 -0.6 102.94604547
11.875 12.05 -1.2 -1.05 -0.6 -0.5 115.615915198
11.875 12.05 -1.05 -0.9 -2.5 -2.4 86.4369545837
11.875 12.05 -1.05 -0.9 -2.4 -2.3 76.6615390943
11.875 12.05 -1.05 -0.9 -2.3 -2.2 63.2788046748
11.875 12.05 -1.05 -0.9 -2.2 -2.1 51.5293037781
11.875 12.05 -1.05 -0.9 -2.1 -2.0 41.2116059291
11.875 12.05 -1.05 -0.9 -2.0 -1.9 35.9660160306
11.875 12.05 -1.05 -0.9 -1.9 -1.8 30.4621037443
11.875 12.05 -1.05 -0.9 -1.8 -1.7 29.3760982778
11.875 12.05 -1.05 -0.9 -1.7 -1.6 29.1998082852
11.875 12.05 -1.05 -0.9 -1.6 -1.5 32.5395308078
11.875 12.05 -1.05 -0.9 -1.5 -1.4 35.3527660682
11.875 12.05 -1.05 -0.9 -1.4 -1.3 37.8762853853
11.875 12.05 -1.05 -0.9 -1.3 -1.2 42.9910113695
11.875 12.05 -1.05 -0.9 -1.2 -1.1 51.6629232254
11.875 12.05 -1.05 -0.9 -1.1 -1.0 58.720427782
11.875 12.05 -1.05 -0.9 -1.0 -0.9 65.9465319592
11.875 12.05 -1.05 -0.9 -0.9 -0.8 72.9805336987
11.875 12.05 -1.05 -0.9 -0.8 -0.7 82.2527550507
11.875 12.05 -1.05 -0.9 -0.7 -0.6 93.361499104
11.875 12.05 -1.05 -0.9 -0.6 -0.5 105.911750132
11.875 12.05 -0.9 -0.75 -2.5 -2.4 95.4792780914
11.875 12.05 -0.9 -0.75 -2.4 -2.3 96.56403453
11.875 12.05 -0.9 -0.75 -2.3 -2.2 66.3856228458
11.875 12.05 -0.9 -0.75 -2.2 -2.1 52.7704572173
11.875 12.05 -0.9 -0.75 -2.1 -2.0 43.5359158155
11.875 12.05 -0.9 -0.75 -2.0 -1.9 45.7047877601
11.875 12.05 -0.9 -0.75 -1.9 -1.8 30.859716333
11.875 12.05 -0.9 -0.75 -1.8 -1.7 30.9819076656
11.875 12.05 -0.9 -0.75 -1.7 -1.6 28.5348115107
11.875 12.05 -0.9 -0.75 -1.6 -1.5 31.7761680628
11.875 12.05 -0.9 -0.75 -1.5 -1.4 34.1495974289
11.875 12.05 -0.9 -0.75 -1.4 -1.3 34.5231082071
11.875 12.05 -0.9 -0.75 -1.3 -1.2 38.5407591909
11.875 12.05 -0.9 -0.75 -1.2 -1.1 46.6008005838
11.875 12.05 -0.9 -0.75 -1.1 -1.0 53.8025702269
11.875 12.05 -0.9 -0.75 -1.0 -0.9 61.3616026334
11.875 12.05 -0.9 -0.75 -0.9 -0.8 68.5352661083
11.875 12.05 -0.9 -0.75 -0.8 -0.7 77.1346399564
11.875 12.05 -0.9 -0.75 -0.7 -0.6 86.1411403207
11.875 12.05 -0.9 -0.75 -0.6 -0.5 97.141760758
11.875 12.05 -0.75 -0.6 -2.5 -2.4 105.025412068
11.875 12.05 -0.75 -0.6 -2.4 -2.3 93.7233518628
11.875 12.05 -0.75 -0.6 -2.3 -2.2 55.2028243962
11.875 12.05 -0.75 -0.6 -2.2 -2.1 63.3304721054
11.875 12.05 -0.75 -0.6 -2.1 -2.0 60.8027287514
11.875 12.05 -0.75 -0.6 -2.0 -1.9 65.5207430881
11.875 12.05 -0.75 -0.6 -1.9 -1.8 38.5254226659
11.875 12.05 -0.75 -0.6 -1.8 -1.7 35.1753318133
11.875 12.05 -0.75 -0.6 -1.7 -1.6 30.6864749379
11.875 12.05 -0.75 -0.6 -1.6 -1.5 32.5097888182
11.875 12.05 -0.75 -0.6 -1.5 -1.4 34.4337771022
11.875 12.05 -0.75 -0.6 -1.4 -1.3 33.0916677935
11.875 12.05 -0.75 -0.6 -1.3 -1.2 36.3757712971
11.875 12.05 -0.75 -0.6 -1.2 -1.1 41.3098728047
11.875 12.05 -0.75 -0.6 -1.1 -1.0 49.1734944231
11.875 12.05 -0.75 -0.6 -1.0 -0.9 56.8132473461
11.875 12.05 -0.75 -0.6 -0.9 -0.8 61.4904583353
11.875 12.05 -0.75 -0.6 -0.8 -0.7 69.1345390068
11.875 12.05 -0.75 -0.6 -0.7 -0.6 79.44633664
11.875 12.05 -0.75 -0.6 -0.6 -0.5 86.3589561739
11.875 12.05 -0.6 -0.45 -2.5 -2.4 114.095466154
11.875 12.05 -0.6 -0.45 -2.4 -2.3 117.254311671
11.875 12.05 -0.6 -0.45 -2.3 -2.2 64.6772657754
11.875 12.05 -0.6 -0.45 -2.2 -2.1 71.7662949969
11.875 12.05 -0.6 -0.45 -2.1 -2.0 74.5361383423
11.875 12.05 -0.6 -0.45 -2.0 -1.9 94.9928788995
11.875 12.05 -0.6 -0.45 -1.9 -1.8 57.9335183293
11.875 12.05 -0.6 -0.45 -1.8 -1.7 52.1569317685
11.875 12.05 -0.6 -0.45 -1.7 -1.6 38.3554753601
11.875 12.05 -0.6 -0.45 -1.6 -1.5 38.0212707408
11.875 12.05 -0.6 -0.45 -1.5 -1.4 36.6012727944
11.875 12.05 -0.6 -0.45 -1.4 -1.3 30.8165064019
11.875 12.05 -0.6 -0.45 -1.3 -1.2 32.1414603689
11.875 12.05 -0.6 -0.45 -1.2 -1.1 37.3049504515
11.875 12.05 -0.6 -0.45 -1.1 -1.0 44.7062397839
11.875 12.05 -0.6 -0.45 -1.0 -0.9 51.1297742556
11.875 12.05 -0.6 -0.45 -0.9 -0.8 57.2341695244
11.875 12.05 -0.6 -0.45 -0.8 -0.7 64.5262906461
11.875 12.05 -0.6 -0.45 -0.7 -0.6 74.6825651941
11.875 12.05 -0.6 -0.45 -0.6 -0.5 77.9401517417
11.875 12.05 -0.45 -0.3 -2.5 -2.4 112.806377535
11.875 12.05 -0.45 -0.3 -2.4 -2.3 117.6571918
11.875 12.05 -0.45 -0.3 -2.3 -2.2 75.7458060067
11.875 12.05 -0.45 -0.3 -2.2 -2.1 71.2522351804
11.875 12.05 -0.45 -0.3 -2.1 -2.0 89.5371707246
11.875 12.05 -0.45 -0.3 -2.0 -1.9 114.687706218
11.875 12.05 -0.45 -0.3 -1.9 -1.8 82.3512692244
11.875 12.05 -0.45 -0.3 -1.8 -1.7 82.0641439781
11.875 12.05 -0.45 -0.3 -1.7 -1.6 80.804282554
11.875 12.05 -0.45 -0.3 -1.6 -1.5 69.3071118358
11.875 12.05 -0.45 -0.3 -1.5 -1.4 68.6021189052
11.875 12.05 -0.45 -0.3 -1.4 -1.3 45.8755759374
11.875 12.05 -0.45 -0.3 -1.3 -1.2 41.1593073188
11.875 12.05 -0.45 -0.3 -1.2 -1.1 39.1301692337
11.875 12.05 -0.45 -0.3 -1.1 -1.0 43.3058699013
11.875 12.05 -0.45 -0.3 -1.0 -0.9 48.3422152144
11.875 12.05 -0.45 -0.3 -0.9 -0.8 52.9775322047
11.875 12.05 -0.45 -0.3 -0.8 -0.7 58.9978474491
11.875 12.05 -0.45 -0.3 -0.7 -0.6 66.2687501196
11.875 12.05 -0.45 -0.3 -0.6 -0.5 73.704523226
11.875 12.05 -0.3 -0.15 -2.5 -2.4 113.488763004
11.875 12.05 -0.3 -0.15 -2.4 -2.3 88.2799286269
11.875 12.05 -0.3 -0.15 -2.3 -2.2 74.7389177359
11.875 12.05 -0.3 -0.15 -2.2 -2.1 64.3527996148
11.875 12.05 -0.3 -0.15 -2.1 -2.0 88.5454136334
11.875 12.05 -0.3 -0.15 -2.0 -1.9 103.762321631
11.875 12.05 -0.3 -0.15 -1.9 -1.8 81.9613375922
11.875 12.05 -0.3 -0.15 -1.8 -1.7 96.8485174108
11.875 12.05 -0.3 -0.15 -1.7 -1.6 103.234262835
11.875 12.05 -0.3 -0.15 -1.6 -1.5 103.048833252
11.875 12.05 -0.3 -0.15 -1.5 -1.4 112.877274361
11.875 12.05 -0.3 -0.15 -1.4 -1.3 97.5946456674
11.875 12.05 -0.3 -0.15 -1.3 -1.2 91.5677855695
11.875 12.05 -0.3 -0.15 -1.2 -1.1 79.1920319386
11.875 12.05 -0.3 -0.15 -1.1 -1.0 69.7079024708
11.875 12.05 -0.3 -0.15 -1.0 -0.9 65.7198311876
11.875 12.05 -0.3 -0.15 -0.9 -0.8 60.3498460599
11.875 12.05 -0.3 -0.15 -0.8 -0.7 65.4991765668
11.875 12.05 -0.3 -0.15 -0.7 -0.6 67.8291591473
11.875 12.05 -0.3 -0.15 -0.6 -0.5 70.1671406543
11.875 12.05 -0.15 0.0 -2.5 -2.4 74.4254659029
11.875 12.05 -0.15 0.0 -2.4 -2.3 80.2706226265
11.875 12.05 -0.15 0.0 -2.3 -2.2 94.7688918786
